EntryID,SenseID,EngDesc,SpaDesc,ZapDesc,AssociatedTaxa,SpecimenImagesByTaxa
E0123,S0010,Short and fine hair-like structures (pubescence) found in sugarcane.,Ahuate. Estructuras similares a pelos espinosos muy pequeños (pubescencia) presentes en la base de las hojas de la caña de azúcar.,"Laani nga rabicabe guichiyonde', nabé nababa'ni.",,
E1235,S0011,Spherical fruit of the <bacua' quichi'> tree. It is used as a noisemaker in certain dances.,"Fruto esférico del árbol conocido como <bacua' quichi'>, que se utiliza como cascabel para ciertos bailes.","Bacuá' nga rabicabe ti bidola ni ricá lu ti yaga ni rabicabe laa, laaca bacuá'. Dxique, cani ruyaa ndaani' le' xti' yu'du', rugaandani yanniñee ti xhidxini ora ma' cuyaa.",,
E0006,S0012,"This name is given to at least two different species of the Bromeliaceae family, including <Bromelia palmeri> and <Tillandsia ionantha>. <B. palmeri> is a plant endemic to Mexico. The species known as <bacuela gui'xhi'> can have a number of different forms, such as herbs, plants that grow among rocks (rupicolous), plants whose leaves are arranged like rose petals (rosetophilous) and plants that grow on other plants (epiphytes). The epiphyte <bacuela gui'xhi'> plants grow on trees and cactuses. However, they are not parasitic as they do not extract any resources from the plant they develop on. The species found in La Ventosa are usually small and do not exceed 0.5 meters in height. They are abundant in La Ventosa. The plant known as <bacuela gui'xhi'>, which corresponds to <Tillandsia sp.>, produces an inflorescence with purple flowers. These flowers, which have no aroma, are used at Christmas for the manger of the Baby Jesus. Another plant produces a spherical fruit with a bittersweet flavor and is still considered edible by some people. Yet another plant has leaves shaped like a hammock under which armadillos shelter.","La piñuela. Nombre que se le da por lo menos a dos especies distintas de la familia Bromeliaceae incluyendo <Bromelia palmeri> y <Tillandsia ionantha>. Entre estas, <B. palmeri> es una planta endémica de México. Las especies designadas por el nombre <bacuela gui'xhi'> pueden tener diversas formas de vida incluyendo hierbas, plantas que crecen entre rocas (rupícolas), plantas cuyas hojas se disponen como una rosa (rosetófilas) y plantas que viven sobre otras plantas (epífitas). Las <bacuela gui'xhi'> son epífitas que viven sobre árboles y cactus. Como tales, no son plantas parásitas y no extraen ningún recurso de la planta sobre la cuál se desarrollan. Las especies que se encuentran en La Ventosa, donde se les considera abundantes, suelen ser pequeñas y no medir más de medio metro de altura. Una de las plantas designadas como <bacuela gui'xhi'>, < Tillandsia sp.>, produce una inflorescencia de flores moradas sin aroma y se utiliza en Año Nuevo para hacer el pesebre del Niño Jesús. Otra más produce frutos esféricos de sabor entre dulce y amargo que algunas personas aún consideran comestibles. Otra más tiene pencas (hojas) de forma similar a la de una hamaca bajo las cuáles se refugian los armadillos.","Nuu xtaleni rabicabe bacuela gui'xhi'. Nuuni la? rindanini lade guie casi ñacani guixi; ne nuuni la? ca xpandagani rului'cani ti guie'bixigui'; ne laaca nuuni la? rului'cani luba´, rirendacani lu yaga ne lu bidxí, xisi la? qué re'dicani tini, rigapisini ca yagadi'. Ca bacuela gui'xhi' nuu lu Guidxi Rialle Bi la? nabiuxecani, qué risoope'cani, nuuru' xtaleni.  Ti bacuela gui'xhi'di' rudiini ti guie' naguhui, qué gapani xho'. Binni riquiiñeni lu beeu iza yooxho' racani xquela niñu. Dxique ca binni ra ñaa biyaanacani xhiuzeca' casi ñacani bacuela. Ne xti bacuela gui'xhi'ca la? rudiini ti xcá nalolo ni nanaxhi nandá', nuu binni ná rócabeni. Ne nuu xti bacuela gui'xhi' la? ribee caadxi batuuba ni rireeche layu casi ñacani guixhe, naxhiini, xa'na'ni nga riuu ngupi runi lidxi.",<Billbergia pallidiflora>;<Bromelia palmeri>;<Hechtia isthmusiana>;<Hechtia rosea>;<Hechtia>;<Tillandsia caput-medusae>;<Tillandsia concolor>;<Tillandsia hammeri>;<Tillandsia ionantha>;<Tillandsia makoyana>,"34b145a33a2cf0293e900a173626e5f9,26e73a51b8a15af69f2a10ba36229701,544e52758f2ae7fe56c3c9cda46caf3f,f7ca09b3fcaf9a2c1964a66ed51ff068,57a27a62b2ba8d5f647573b181f884be,1f01519f28dc7eb3e326a515e8a72efd,dc21aaa860bd7077b65c485dc86cafc3,1843bad22c24f4270f90262d40ea30f5,3d929f2c6fc252eb30870eec9afa5f9f,fbf9a02d6644963323dd5d15754c084e,189c41a3bebbdef3ccbbf4c6974c5378,1cc3f5e355a83815fc548fedf8eaeb70,8aac32550e66511f25a8c6de90016e2e,7731e0b5d27b7bdfbf574c9fb8b7cf03,97ffc207920dbbc1a48e623cc28cdf85,ab3991711f9ae7a6315aa787c89f3699,6e4c9c4610d6860e9f4dcdf5fecf172a,57a6ffac9140770969cd55bcee04ec07,561a794aae53d30b127ae6e0a7a88a70,a2465b5f9d7d43dd9a931163711019b8,af21e914f8a1a961e9cd5d7fcbb3fb50,7d5677a6a70b94b862f53ce3e8338751,f50641af29cdcd1f4b01ae607053707e,55f6442d403f586b2cf9c53679a0c523,91f79a81cbd5081943f1acab2d727777,e70bbe9f0760f1d2a198e9d3e92ea559,dbb7c5bf91b7e0822caba6b1fb6790e5,c75805ed588a5da06424e043dd6b726d,b8b8bf0868b34eac7a3cda8fe6c7d417,d08f79e41c39f464bd8789cc9853a07b,c60b9b0e4e104de7bc12a8e1bc2bdc3e,021a28fac5efea0061387a8e98e21171,52a70dbf335c9b1ed0dfee75be13c86a,41047b22055bbddaa5964697aaf8a50e,7c2cbba599e82ca5f7d2e037c10e5373,4d5773e44e596da665f6d852bc32d4bc,7d6b7abbe7177a8cc68b1a29e690d3a3,0d82ce3da50401dbfd51c4f5a8df1369,87fb9a82e851149ed4db6ee0f2b1863d,65b3a8c162fbb391aa25b3f927e490d5,0435da3058ca12dc37a04bfb86ee2607,95e63653bfd9dcead85c35c4286f849a,0672805512f5b096028b44d9a356a738,ed307255bb0d9a684905cd9fe20d12a7,80c050f0da1240c4fe9a26833a7b8bac,7c8954f63906e67fca8aa92b5b184734,c67d6ed39a697725357ec2e0c31c83cb,f6449204b34c16ab8d94fefb85d86227,2a720414551b9c2a69261178ebbf81c4,fe433d0e1e176efe21d51f01f2f47d2c,6762f6089a6d8af131608851004de88c,078ddb7efde794ae4b8b79350466ab18,a86e256a6dd4f7139817107c7b7b3e89"
E0005,S0013,"Corn husk. The dry leaves that surround an ear of corn. They are considered to have a variety of uses, in particular for wrapping tamales.",El totomoxtle. Las hojas secas que envuelven la mazorca de maíz y que se utilizan de maneras diversas y en particular para envolver tamales.,"Bacuela. Ora nayaani la? láni bacuela yaa. Riquiiñecabeni para gunicabe guetabaadxi' zee. Ne ora nabidxini láni bacuela bidxi. Riquiiñecabeni para gunicabe guetabaadxi' ne guetazee. Ne nuu binni napa xiiñi' cayaca guidxaguichi la?, ricaani, rutopaneni ca guichi cá deche xiiñi'. Dxique, ndaani' bacuela bidxi nga guluu binni cuba, bendabuaa, dxiña. Ne laaca ndaani'ni bigaaguicabe benda huiini'.",,
E0007,S0014,Fruit in a bunch.,"Racimo de fruta, manojo de fruta, penca.","Ná ta Taquiu Nigui, lu xqui'chi' ni lá: Pa sicca rica Diidxaza xti Guidxiguie', nacani ti be'za'.",,
E1134,S0015,"Generic term used in reference to herbaceous vines of the Polygonaceae family including those called <bacuxu' quichi'>, which have white flowers, and <bacuxu' rosado>, which have pink flowers. In both cases, the flowers grow in clusters. Some people believe these vines have medicinal properties for treating inflammation. These vines are said to have been introduced by settlers from the Mixe areas. In the <Vocabulario Zapoteco del Istmo>, Velma Pickett and collaborators give the Spanish names <la bellísima> y <la lechuza> for these vines.","Nombre genérico que se utiliza para referirse en conjunto o sin especificidad a bejucos herbáceos de la familia Polygonaceae conocidos como <bacuxu' quichi'> cuyas flores son blancas, y <bacuxu' rosado>, cuyas flores son de color rosa. En ambos casos las flores están agrupadas en forma de racimos. Algunas personas les atribuyen a algunos de estos bejucos propiedades medicinales que combaten la inflamación. Se relata que estos bejucos fueron introducidos por pobladores de zonas mixes. En el <Vocabulario Zapoteco del Istmo>, Velma Pickett y sus colaboradores ofrecen los nombres en castellano de <la bellísima> y <la lechuza>.","Ná ta Taquiu Nigui, lu xqui'chi' ni lá: Pa sicca rica Diidxaza xti Guidxiguie', laani nga ti luba' ni rudii caadxi guie' sicarú.  Rudiini caadxi be'za' guie', nuucani naxiña'yati ne nuucani naquichi', caguie'di' napacani ti xinaxhi nasisi. Nuu binni ná rusiandani guí. Nácabe ca mi'xhi' bedaneni neza lu ca layudi'. Ná Velma Pickett lu diidxaxtia rabicabeni: <la lechuza> o <la bellísima>.",,
E0009,S0016,"This name is given to at least one species of the Polygonaceae family (<Antigonon flavescens>), which has a scarce presence in La Ventosa, and one species of the Convolvulaceae family (<Jacquemontia mexicana>) which is, in contrast, found in abundance. These are herbaceous vines with white flowers that grow in clusters. They are believed by some to have medicinal properties for treating inflammation. Some believe it is only <bacuxu' quichi'> and not <bacuxu' rosado> (the name given to other herbaceous vines of the Polygonaceae and Myrtaceae families) that has such properties. These vines are said to have been introduced by settlers in the Mixe areas.","Nombre con el que se designa a por lo menos una especie de la familia Polygonaceae (<Antigonon flavescens>) que se encuentra de forma escasa en La Ventosa y a una de la familia Convolvulaceae (<Jacquemontia mexicana>) que es abundante. Se trata de bejucos herbáceos cuyas flores son blancas agrupadas en forma de racimo. Algunas personas les atribuyen a estos bejucos propiedades medicinales que combaten la inflamación. Para esto se puede  prepara para beber y para tomar baños de asiento. Incluso algunos consideran que sólo el <bacuxu' quichi'> y no el <bacuxu' rosado>, nombre que se le da a otro bejuco de la familia Polygonaceae, tiene dichas propiedades. Se relata que estos bejucos fueron introducidos por pobladores de zonas mixes.","Laani nga ti luba' naquichi', rudiini ti guie' sicarú, ne laaca sicari' rabicabe  ti manihuiini' riza gueela' . Luba'di' rirendani lu yaga ne rudiini ti be'za guie'. Nacabe rusiandani guí, zanda guécabeni, zanda guicaacabeni cuaana', zanda ca'cabeni lu ti ninchaa xilaga ne cuícabe ndaani' xnisani.",<Antigonon flavescens>;<Jacquemontia mexicana>,"40d0a31d2ac0a06fd9afba97c1a2595f,2ab2d3b788d456d04ffd5bb365388aee,0b1922aa2472614bfd9b3eeba596f132,65f7a95c2c65a5c94e9275a47c61bd58"
E0008,S0017,"This name is given to at least two species of the Polygonaceae family and one of the Myrtaceae family. These herbaceous vines, which develop from a bulb, are generally found in abundance in La Ventosa. They produce pink flowers all year round and are especially popular with women, who use them to adorn their hair. Some people attribute anti-inflammatory properties to them, while others believe only <bacuxu' quichi'> (the name given to other vines of the Polygonaceae and Convolvulaceae families) has such properties. These vines are said to have been introduced by settlers in the Mixe areas.","Nombre con el que se designa a dos especies de la familia Polygonaceae. Se trata de bejucos herbáceos de base leñosa que se encuentran de manera generalmente abundante en La Ventosa. Las flores color rosa de estos bejucos florecen a lo largo del año y son muy apreciadas sobre todo por las mujeres quienes las usan para adornarse el cabello. Algunas personas les atribuyen a estos bejucos propiedades medicinales que combaten la inflamación aunque otras personas consideran que sólo el <bacuxu' quichi'>, nombre que se le da a otros bejucos de las familias Polygonaceae y Convolvulaceae, tiene dichas propiedades. Se relata que estos bejucos fueron introducidos por pobladores de zonas mixes.","Luba'di' rudiini ti guie' naxiñá' te rieleni lu ti be'za. Nabé riula'dxi binnini, nuu gunaa ora gueda guireeni rucaani ique. Luba'di' rindanini lu ti gu. Nácabe rusiandani guí. Luba'di' záni neza lu dani xti' ca mi'xhi.",<Antigonon cinerascens>;<Antigonon flavescens>;<Eugenia>,"ace76adc2e64271adf1f004a4a47dfc1,0460e3be8ef7accc27c9d1c472dc1720,af797ca9f1cb3fa099c140ae2285a3c5,a4aa80457b3f3d2c0b2c6e6470909b76,d38368f028fbdbf9225521811acf8f1b,f6505c4852cd4488951c952e83549144,a8dd497ff0c90732561485fdc7d9efe4,f7ab46f00ad443812e2ec4f8f6999e43,8136c2d533747d276473f398aeab5ebf,f7036aac78258fbecac92b40ae6b9b95,bec93a246b9fd218d5145c70fd32cea2,fab2bdd0c4dbc95cc900707563c99c43,b77eb1b81f238103b56e1afe4021b0b5,ed190c5e94e799970ce65a788fed9dd6,65c575454a8c5ce5aff46680c06921b9"
E1108,S0018,"This term refers to  <Casearia tremula>, a with white bark tree that reaches a height of 7 meters. The trunk is not used despite being particularly straight. It produces a spherical fruit that, when split open, is a bright orange color. The fruit is eaten only by birds.","Se nombra así a los árboles pertenecientes a la especie <Casearia tremula>. Alcanzan una altura de 7 metros. Su corteza es blanca. Su tronco o tallo no se utiliza a pesar de ser particularmente recto. Su fruto es esférico y al abrirse revela un color naranja muy vistoso (arilo, especie de ""tela"" que cubre a la semilla). Sólo los pájaros consumen los frutos.","Yaga danini, risooni bia' gadxe metru, naquichi xpandadini, nandíni, zulua' qué gapani ra guiquiiñeni, rudiini caadxi bidola huiini' ora riele' ribeeni chonna la? o tapa bandaga napa ti xcá nabiguitu duxhu' ni nabé ró manihuiini'.",<Casearia tremula>,"1fa9dedce87e23ea18100ce4fd067292,4e1ae03e9fcc4dab0621048c83ded5d0,b82d2538f2da7ce80c9f6456b9d29242,4086389eab47730c83dfbf3f269ce418,f1f702cfe3d0eb5e013f76ff7ec492c1"
E0010,S0019,"In his <Guía Gráfico-Fonémica para la Escritura y Lectura del Zapoteco>, Eustaquio Jiménez Girón gives the Spanish name for this plant as <manto de la virgen>. He describes it as an ornamental plant with toothed leaves that can be purple or green.","Eustaquio Jiménez Girón en su <Guía Gráfico-Fonémica para la Escritura y Lectura del Zapoteco> describe a esta planta como una de ornato ""con hojas dentadas de color morado o verde"" a la cual le designa el nombre de manto de la virgen.","Ná ta Taquiu Nigui, lu xqui'chi' ni lá: Pa sicca rica Diidxaza xti Guidxiguie', laani nga ti yagaguie' rudii caadxi bandaga nagu o pacaa naga'. Nuu binni laaca rabini 'xhaba Xunaxi'.",,
E0098,S0020,"This term refers to <Senna occidentalis>. This is an herb found in abundance in La Ventosa during the rainy season and in close proximity to the plant known as <la'sa yu>. It produces a yellow flower. The leaves (but not the flower nor the seeds) are used for enemas, because they are considered to have medicinal properties for treating inflammation, especially of the abdominal region in women. This herb is not eaten.",Nombre con el que se designa a la especie <Senna occidentalis>. Hierba que se encuentra en abundancia en La Ventosa en época de lluvia y en cercanía de la planta conocida como <la'sa yu>. La flor de <badxa laga> es amarilla. Su hoja (y no la flor ni la semilla) se usa para lavativa pues se considera que tiene propiedades medicinales contra la inflamación sobre todo la del vientre de las mujeres. No se consume.,"Laani nga ti guixi bandaga risoo bia' gandebichii centimetru, rindanini lu gusiguié, cue' lasayu. Ribeeni ti guie' naguchi. Binni riquiiñeni para cuaana' purti' rindeteni guí ndaani' gunaa. Lu diidxaxtia rabicabeni 'ajonjoli'. Nuu tu ná, laaca racaneni binni guzana gapa niidxi.",<Senna occidentalis>,"ec0fd5943009577eca9d4c1e6e05ed24,1dd23e8c8dd13157fa1fd43c5f4a6a97,81a36b3d2e85aee4e9658653414a899f,6d057cd607e6dcab1d0ecd4da28477b4,28e187fc7cbe0e40f88f960a1711f4f5"
E0122,S0021,Pod.,Vaina.,Láni bichuga purti' nachongani.,,
E0011,S0022,Plant known in Spanish as <quelite> that is found abundantly during the corn harvest season. It was once eaten by humans but nowadays is used as pig and cattle feed.,Quelite. Abunda durante la época de la cosecha del maíz. Actualmente se usa para alimentar a los marranos y al ganado aunque con anterioridad se utilizaba para consumo humano.,"Baladxi'. Nabe ridaleni lu xhi nisaguie lade guela, rindani gui'xhi'ni cheri' cherica', qué rinádi' binni góni, ruyaacabeni yuze, bihui ne bere.",,
E0012,S0023,"Green herbaceous plant with fine hairs (pubescence) that upon contact embed themselves in the skin and cause itchiness. It is not eaten by humans nor is it used for animal feed. In fact, it can cause constipation and even death if cattle eat it without plenty of water. Some people refer to this plant in Spanish as <quelite> or <mata buey> (lit. bull killer), though the latter term is also documented as the name of the tree referred to in Zapotec by the borrowed name <matabuey>.","Hierba de hoja verde con pelos finos (pubescencia) que al tocarlas se entierran en la piel fácilmente y causan comezón. No se consume ni se da de comer al ganado. Al contrario, se considera muy peligroso para el ganado pues si lo comen sin tomar suficiente agua causa estreñimiento que puede matar al animal. Algunas personas le llaman a esta planta quelite e incluso mata buey, aunque este último nombre se ha documentado como el nombre en castellano del árbol llamado matabuey.","Laani nga ti guixi nayaa ni napa guichiyonde', ora riga'nacabeni, riaazi' ca guichi huiinidi' ladicabe ne rusibabani. Cadi guixidi' para gócabeni, ninca yuze qué ruyaanadicabeni. Pa malasi guedatocameni ne qué guécame nisa, zaticame, purti' ruga'ga'ni ndaanicame. Nuu binni rabi guixidi' baladxi', pacaa matabuey, laaca sicarica rabicabe ti yaga.",,
E0013,S0024,"Small pieces of wood such as tinder, splinters, strips of tree bark (although not the bark itself), or any material that breaks off after splitting or cutting wood.","Corteza de árbol. Pedacitos pequeños de madera como lo sería la yesca, las astillas, tiras de corteza, o la pedacería que queda después de cortar leña.",Bandadi': Nacani xhabaladi yaga ne laaca zaca rabicabe ca yaga ndahui ni riaba ora calaa yaga.,,
E0014,S0025,Plant leaf. Eustaquio Jiménez Girón in his<Guía Gráfico-Fonémica para la Escritura y Lectura del Zapoteco> indicates that this term can also refer metaphorically to a weapon with a very sharp blade. This meaning is no longer attested nowadays among speakers from Juchitán de Zaragoza or La Ventosa.,"Hoja de una planta. Eustaquio Jiménez Girón indica en su <Guía Gráfico-Fonémica para la Escritura y Lectura del Zapoteco> que también se puede hacer referencia con este término, de manera figurada, a una arma punzocortante muy filosa. Este sentido ya no se reconoce entre hablantes de las localidades de Juchitán de Zaragoza y La Ventosa.","Zaca rabicabe yanna guirá ca xpandaga ti yaga. Dxique la? ca bandaga xti' guela, biduaa ne ziña gudxicabe laaca': bia, ne nuuru' binni rabiru'ni zaca. Ná ta Taquiu Nigui lu xqui'chi' ni lá: Pa sicca rica Diidxaza xti Guidxiguie', laaca gudxicabe bandaga ti gudxiu naduxhu' ne nanui, neca nagasidu' ma' guiruti' qué rietenala'dxi'di' diidxa'di'.",,
E0015,S0026,"This term refers to ornamental plants such as caladiums. However, it can also be used more broadly to refer to plants with wide leafs.",Se asigna este término a las plantas de ornato conocidas como mafafa y caladio aunque también se puede asignar más ampliamente a las plantas con hojas anchas.,"Sicari' rabicabe ti yaga huiini' ni rapa binni ndaani' lidxi, lacani lu diidxaxtia mafafa ne caladio. Ne laaca sicari' rienecabe ca bandaga bata xti' ca yaga.",,
E0019,S0027,Leaf with a fan (palm) shape.,Hoja en forma de baraja o abanico (palmiforme).,Bandaga bia. Napani bandaga nabiaa.,,
E0017,S0028,Banana leaf.,Hoja de plátano.,"Yanna nuu binni rabini bandaga biduaa, dxique gudxicabeni, ne nuuru' tu rabini: bia. Sicari' rabicabe guirá ca bandaga nalaga ne ziuula'.",,
E0020,S0029,Ceiba tree leaf. It is considered to have properties that may terminate a pregnancy if consumed within the first few days after a menstruation delay.,La hoja de la ceiba (<Ceiba sp.>). Se considera que tiene propiedades que permiten la interrupción de un embarazo dentro de los primeros días después que le siguen al retraso de la menstruación.,"Bandaga bioongo'. Nacabe pa tu nacaxiiñi' guéni, sutiidi' xiiñi'ni laa. Nuu binni riquiiñeni para gucheecheni guí. Ora guiaba tuuxa' o gacaná, rindaabini ne rugazenecabeni laa.",,
E0131,S0030,Pomegranate leaf. It is considered to have medicinal properties for treating diarrhea in children.,La hoja de la granada. Se considera que tiene propiedades medicinales para el tratamiento de la diarrea entre los niños.,Bandaga granada. Nácabe rusiandani yubandaani' xti' ca xcuidi.,,
E0022,S0031,Palm leaf used for wrapping tamales.,Hoja de palma que se pueda usar para la preparación de los tamales.,Bandaga guetaguu. Bandagadi' xti' yaga biduaani. Runinecabeni guetaguu.,,
E1219,S0032,Flower petal.,Pétalo de una flor.,Sicari' rabicabe ca bandaga xti' ca guie'.,,
E1116,S0033,Castor-oil (<Ricinus comunis>) plant leaf.,Hoja de la higuerilla (<Ricinus comunis>).,"Yaga huiini'di' rindani ruaa guiigu', rudiini caadxi bandaga nabiaa. Nuu binni riquiiñeni para gusiandani sambo'co', riguixhecabeni ndaani' yanni binnihuará.",,
E0025,S0034,Herb with structures in the shape of a scorpion's tail. It is used in enemas as it is considered to have medicinal properties for treating inflammation.,"La hierba cola de alacrán. Se considera que, preparada como lavativa, tiene propiedades medicinales para reducir la inflamación.","Bandaga mani'xubi. Nàcaba zanda guindaabi' ca xpandagani para guicaa binni cuaana', rusiandani guí.",,
E0026,S0035,Leaf sprout.,Brote de una hoja.,"Bandaga mudu, laani nga ti bandaga ri'ni' ni zeedaru' guiele'.",,
E0027,S0036,Orange tree leaf. It is considered to have medicinal properties for treating coughs.,Hoja del naranjo. Se considera que tiene propiedades curativas para el tratamiento de la tos.,Bandaga naranja. Nácabe rusiandani ru.,,
E0029,S0037,Generic term for aquatic plants.,Término genérico para las plantas acuáticas.,Zaca rabicabe ca xpandaga yaga rindani lu nisa.,,
E0033,S0038,Young leaf.,Hoja tierna.,Bandaga ri'ni'.,,
E0031,S0039,Blackberry.,La zarzamora.,"Bandagadi', riguiidi'ni ladi binni ne rusimucuni lari, que rudiidi'ni guie'.",,
