ExampleID,Senses,ZapPDLMAText,ZapAPText,SpaText,EngText,Audio,Sources
EX0019,S0119,,"bidxí luba' ca la? ra'tani layú la? ruchiaa nàni la? ne ricá caadxi cuaananaxhi huiini' color naxiñà luni ne napani stale guiichi ladi ladi bi, ladi bidxí ca, ladi cuaanananaxhi ca, peru qui ródicabeni la? mas que pájaro nga róni, pájarosi","el cactus enano se se da en el suelo, extienden sus ramas y da unas frutitas de color rojo tiene muchas espinas en el cuerpo de la fruta, pero no lo comen, más que el pájaro es el que lo come, sólo el pájaro","the dwarf cactus grows at ground level, it has long branches and produces a few small fruits that are red in color it has a lot of prickles on the skin, on the skin of its fruits, so it isn't eadible except birds eat it, only birds",82f31bc364d2879f999e09e5cefc1e16,
EX0020,S0121,,"bidxí mulla' , ti yaga bidxí nalaseni la? ne risooni bia' tapa bia' ne nápani stale nàni la? ne ricá ti cuaananaxhi luni la? col, ora nayaa ora naver, nayaani la? naverdeni ne ora ma zigàni la? ma rácani casi color morado color naxiña' ne dentroni ca la? naxiña' ne nápani, biidxi stìni ca la? puru biidxi huiini nayaase, rócabeni ne rihuinnini ratica lu ca layú ca, lu dàni, lu ndaani' ca gui'xhi ca, bidxí mulla', nápani stale guiichi ládini","el pitayo viejo es un árbol de pitaya delgado y llegar medir de alto aproximadamente cuatro metos y tiene muchas ramas y da un fruto col, cuando está crudo es verde y cuando ya va marudando se vuelve como color morado color rojo y en su interior es rojo, y tiene, su semilla son puras semillitas negras, se  comen y se ve en cualquier lugar, en los terrenos, en el cerro, en el monte, el pitayo viejo tiene muchas espinas en su cuerpo","the bidxí mulla' is a cactus tree that is thin and can be up to four meters tall and it has many branches, right, and produces fruit when it is still unripe it is green and when it ripens, it becomes almost purple or red in color and in the inside it is red and it has, its seeds are all small black seeds, they are edible and it can be found everywhere, on the hills, in the forest, the bidxí mulla' has a lot of prickles on the surface",db6f579dd72cdb39e79723cf4880628b,
EX0021,S0122,,"bidxí, bidxí de ràbido de pinu huiini la? ti bidxí huiini rindánini lu layú la? peru rácani puru bola huiini, puru bola huiini la? nápani stale guíchi ne rihuinnini lu ca dàni ca, lu uriá ca guie ca, uriá, nabé, nabé staleni, stale xiiñini, riquichexiiñini stale bola huiini la? ne ca cuaananaxhi stìni ca la? ricá ti cono huiini' color naxiña' ne naduubi ládini, luguia' luguia' ca naduubi, naquichi' duubi' huiini'","el cactus, el cactus al que llamamos de pinito, es un cactus que crece en el suelo, pero toma forma de pura bolita, pura bolita tiene muchas espinas y se da en los cerros, a la orilla de las piedras, son muchos, tiene muchos hijos, le brotan muchas bolitas y sus frutos, se da un conito de color rojo y es suave, ela parte de encima es suave, lo suave es blanco","this cactus, this little cactus called the bidxí pinu is a small cactus that grows at ground level but it is all small balls, all small balls it has a lot of prickles and it grows up in the hills, against the rocks, it grows many, many sprouts, it sprouts a lot of little balls, and its fruits are small and cone-shaped, red in color, it is soft, the outside is soft and what is soft is white",8c4f8fbee998776c81f82758e7b676a6,
EX0022,S0124,,"bidxí toope ca la? ti yaga verdeni, nasooni la? bia', bia' chii la? doce bia' nápani nasooni la? ne ricá caadxi cuaananaxhi luni la? bola la? napa guiichi la? color color naguchi, pur ngá nga rábigabeni bidxí toope ne nápani guiichi ladini idubi ladini","el bidxí toope es un árbol verde, mide de altura 12 metros aproximadamente y da unos frutos la bola tiene espinas de color amarillo, por eso le llaman bidxí toope y tiene espinas en todo el cuerpo","the bidxí toope is a green tree, it grows up to about ten meters, twelve meters in height, and produces some fruitss the ball has yellow thorns which is why it is called bidxí toope, it has thorns all over its surface",7b749b6c3df8df3b3c8e2e0f8392a423,
EX0023,S0128,,"biga raagu' la? ti yaga ziñani, lui'ni yaga ziña peru nápani guiichi lu bandaga stìni la? ne nápani rácani ti yaga nasoo de ga' bia' o chii bia' ne ricá caadxi bola luni la? ne nápani, bichugani, bichuga ládini ró binnini, runi prepararcabeni la? rácani dxiña ne cueecabe ca bichuga stìni ca la? ne rúnicabeni dxiña la? usábacabe carmín xiñà la? para ácani dxiña biga raagu' ne naxixeni","el coyol es un árbol de palma, parace un árbo de palma pero tiene espinas en sus hojas y se llega a ser un árbol de nueve o diez metros de altura y da unas bolas y tiene cáscara, su cuerpo es de cáscara lo comen las personas, lo preparan en dulce y sacan su cáscara, lo preparan en dulce, le echan carmín rojo para que sea dulce de coyol y es sabroso","the biga raagu' is a palm tree, but it has prickles on its leaves, and it has...it can grow up to nine or ten meters high it produces some balls on it, and its bark is thick people eat it, it is prepared as a sweet, the peel is pulled and it is made into a dessert, they add a red tint to it, to make the biga raagu' sweet, it is delicious",d4d8c1721c136ca5ca660402b4d941e1,
EX0024,S0132,"bi-ye7 x.ti*' ge^7tu Fa!n","biye’ xtì' gue’tu’ Fán","flores para el difunto Juan","flowers for John, the deceased",,RGL03
EX0025,S0142,,"bilumbu ca la? ti yaga nagaani, nabé galanni la? nápani stale bacaanda ne qui gapadini guiichi la?, ricá bandaga stìni la? bandaga redondo la? ne nagaa ne ricá caadxi bola huiini la? ró binnini la? ne ne jaa ne pájaru ne yaga galanni ne ridxélani uriá ca guiigu ca, ra nuu ca nisa ca, racà jmá rihuinnini ne lade guidxi nápani ti juego huiini' la? rábicabe laa bilumbu' riga la? rácani casi trompo ruyaani, rúnicabeni uyaani pue, peru nuu tiro ora undaacabeni la? rilaani la? ma qui riquiiñedini pue, peru galanni para quité'cabeni, ngá nga juego gupa binni chiqué la? para trompo, bilumbu', bilumbu riga rábicabeni","el cachimbo es un árbol verde frondoso, es muy bonito, tiene mucha sombra y no tiene espinas, sus hojas son redondas y verdes, y da como fruto unas bolitas que lo comen las personas y los pájaros y es un árbol bueno que se puede encontrar a la orilla de los ríos, donde haya agua, es ahí donde se da más y en el pueblo. tiene un jueguito que le llaman cachimbo vacío, es como el trompo, baile, hacen que baile, pero a veces lo lanzan y se quiebra y ya no sirve, pero es bueno para jugar, ese es el juego que tuvo la gente antes para el trompo, cachimbo, cachimbo vacío le dicen","the bilumbu' is a leafy tree, very pretty, it provides a lot of shade and it does not have any thorns, its leaves are round and green, and it produces a spherical fruit which is edible for people and birds it is a good tree and it can be found along the rivers where there is water, that it is where it is most often found, in addition to being found in town it produces what turns into a toy, it is called ""empty bilumbu' "", it is almost like a spinning top, you make it dance, but sometimes when you throw it it breaks and it doesn't work any more, but it is nice to play with, that's a toy that people used to play with in the past, before the spinning tops, bilumbu', it is called ""empty bilumbu' """,bdb6d860cfdffcb2b5c8333bfb4fa8c7,
EX0026,S0146,"chi! g.a!sa!7 chupa* bi^-ni nite","chí gásá’ chupà bini nite","voy a chupar dos ""cuartas"" de caña","I am going to eat two pieces of sugar cane",,JLC
EX0027,S0146,"da-ne la7 naa ti bi-ni zhan-dye","dane la’ naa ti bini xandie","por favor, dame una tajada de sandía","give me a slice of watermelon",,ND
EX0028,S0145,"sika-ru zeeda bi-ni x.ti7 Jwan","sicaru zeeda’ bini xti’ Juan","el cultivo de Juan viene creciendo bien","John's crops are doing nicely",,ND;VC17
EX0029,S0147,,"biniidxi ca la? ricani lu yaga, lu itiica yaga, lu chumaga, lu yaga bii, lu quebra jacha ne ricá caadxi bola huiini ver, naguchi la? ne riquiiñecabeni nácabe para remediu para ora nuu gui'dxu xhuuni ladi binni la?, gàzecabeni ne nápani caadxi bandaga huiini' verde naga' ne laaca ró binnini también, puro bola guchini","el muérdago se trepa en árboles, en cualquier árbol, en ""chumaga"", en árbol de mezquite, en ""quebra jacha"" y da unas bolitas amarillas y dicen que lo utilizan para remedios, para cuando alguien tiene herpe zoster en el cuerpo, toman un baño de eso y tiene unas hojitas verdes, frescas y también lo comen las personas, son puras bolas amarillas","the biniidxi climbs up trees, on any tree, on the chumaga, on the mesquite tree, on the quebra jacha, and it produces small yellow spherical fruits it is used as medicine for when you have skin breakouts, you bathe with it it has some small, green leaves and the yellow spherical fruits are edible",4049b17ede6cbc2dc6403cafeac75b48,
